doc_no,doc_type,tx_date,month_year,gross_amount,settled_amount,open_amount,settlement_unit,evidence_tier,evidence_status,matched_against,notes
00019704,INVOICE,2023-04-27,2023-04,9509.1,9271.37,237.73,UNCHARACTERIZED,5,UNASSESSED,,"NOT_ATTEMPTED_BY_DESIGN (D-NEW.7): doc predates allocation_edges.csv's earliest payment_date (2023-07-03) — outside the allocator's coverage, not a genuine gap. Verify against the raw ERP export before treating as open."
00019768,INVOICE,2023-04-28,2023-04,10726.82,10458.65,268.17,UNCHARACTERIZED,5,UNASSESSED,,"NOT_ATTEMPTED_BY_DESIGN (D-NEW.7): doc predates allocation_edges.csv's earliest payment_date (2023-07-03) — outside the allocator's coverage, not a genuine gap. Verify against the raw ERP export before treating as open."
00019977,INVOICE,2023-05-05,2023-05,12731.05,0,12731.05,UNCHARACTERIZED,5,UNASSESSED,,"NOT_ATTEMPTED_BY_DESIGN (D-NEW.7): doc predates allocation_edges.csv's earliest payment_date (2023-07-03) — outside the allocator's coverage, not a genuine gap. Verify against the raw ERP export before treating as open."
00020606,INVOICE,2023-05-23,2023-05,2268.95,2212.23,56.72,UNCHARACTERIZED,5,UNASSESSED,,"NOT_ATTEMPTED_BY_DESIGN (D-NEW.7): doc predates allocation_edges.csv's earliest payment_date (2023-07-03) — outside the allocator's coverage, not a genuine gap. Verify against the raw ERP export before treating as open."
00021122,INVOICE,2023-06-07,2023-06,3491.05,3403.77,87.28,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00023115,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00023115; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00021594,INVOICE,2023-06-22,2023-06,4654.74,4538.37,116.37,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00023115,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00023115; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00022060,INVOICE,2023-07-05,2023-07,7059.9,6883.4,176.5,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00022255,INVOICE,2023-07-11,2023-07,5359,5225.02,133.98,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00022626,INVOICE,2023-07-20,2023-07,8621.01,8405.48,215.53,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00022702,INVOICE,2023-07-23,2023-07,2213.5,2158.16,55.34,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00023075,INVOICE,2023-08-02,2023-08,3943.81,3853.84,89.97,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
