doc_no,doc_type,tx_date,month_year,gross_amount,settled_amount,open_amount,settlement_unit,evidence_tier,evidence_status,matched_against,notes
00004635,INVOICE,2018-12-04,2018-12,4750.02,2306.68,2443.34,UNCHARACTERIZED,5,UNASSESSED,,"NOT_ATTEMPTED_BY_DESIGN (D-NEW.7): doc predates allocation_edges.csv's earliest payment_date (2018-12-18) — outside the allocator's coverage, not a genuine gap. Verify against the raw ERP export before treating as open."
00004542,INVOICE,2018-12-22,2018-12,4250,4250,0,PER_INVOICE_FIFO_BATCH,3,ASSERTED,00004904,Settled via FIFO_BATCH profile (1 allocation row(s)).
00004553,INVOICE,2019-01-02,2019-01,4250,0,4250,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00004839,"STEP 3 candidate (EXACT_SUM_SINGLE) vs payment 00004839; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00004559,INVOICE,2019-01-02,2019-01,2100.01,0,2100.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004561,INVOICE,2019-01-02,2019-01,350,0,350,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004562,INVOICE,2019-01-02,2019-01,700.01,0,700.01,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00004807,"STEP 3 candidate (EXACT_SUM_SINGLE) vs payment 00004807; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00004563,INVOICE,2019-01-02,2019-01,1400.01,0,1400.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004565,INVOICE,2019-01-02,2019-01,1750.01,0,1750.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004566,INVOICE,2019-01-02,2019-01,700.01,0,700.01,PER_CALENDAR_MONTH_EXACT_SUM,3,ASSERTED,00004841,"STEP 3 candidate (EXACT_SUM_SINGLE) vs payment 00004841; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, month-level tie-out only — never treat as per-invoice-confident."
00004568,INVOICE,2019-01-02,2019-01,700.01,0,700.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004578,INVOICE,2019-01-04,2019-01,700.01,0,700.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004591,INVOICE,2019-01-05,2019-01,1750.01,0,1750.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004610,INVOICE,2019-01-09,2019-01,1400.01,0,1400.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004617,INVOICE,2019-01-10,2019-01,700.01,0,700.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004626,INVOICE,2019-01-12,2019-01,1050,0,1050,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004646,INVOICE,2019-01-15,2019-01,1400.01,0,1400.01,UNCHARACTERIZED,5,UNASSESSED,,"No candidate found (exact-sum, contiguous-run, proximity, or cross-account). Genuine gap requiring investigation."
00004690,INVOICE,2019-01-26,2019-01,900,0,900,POOLED_MULTI_MONTH_WINDOW,3,ASSERTED,00007226,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00007226; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, window-level only, weak."
00004695,INVOICE,2019-01-28,2019-01,1400.01,0,1400.01,POOLED_MULTI_MONTH_WINDOW,3,ASSERTED,00007226,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00007226; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, window-level only, weak."
00004719,INVOICE,2019-01-31,2019-01,1200,0,1200,POOLED_MULTI_MONTH_WINDOW,3,ASSERTED,00007226,"STEP 3 candidate (EXACT_SUM_RUN) vs payment 00007226; basket-check: LPG lane consistent, SKU baskets present. Script-generated — not ERP/human-confirmed. Per D-NEW.5, window-level only, weak."
