allocation_id,payment_doc,payment_date,batch_ref,stat_no,payment_amount,target_doc,target_date,target_lane,target_amount,allocated_amount,residual_after_allocation,allocation_type,evidence_source,confidence,commercially_confirmed,review_required,notes
AL-0001,00000007,2016-11-02,T3000001,T3000001,4476.61,00000006,2016-11-01,LPG,4476.61,4476.61,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (6)."
AL-0002,00000060,2016-11-14,T3000006,T3000006,3160.08,00000056,2016-11-14,LPG,3160.08,3160.08,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (56)."
AL-0003,00000142,2016-11-29,T3000008,T3000008,1625.53,00000129,2016-11-29,LPG,1625.53,1625.53,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (129)."
AL-0004,00000176,2016-12-01,T3000011,T3000011,3080.05,00000148,2016-12-01,LPG,3080.05,3080.05,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (148)."
AL-0005,00000238,2016-12-13,T3000013,T3000013,3935.5,00000206,2016-12-13,LPG,3935.5,3935.5,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (206)."
AL-0006,00000305,2016-12-22,T3000015,T3000015,4055.37,00000253,2016-12-21,LPG,4055.37,4055.37,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (253)."
AL-0007,00000331,2016-12-28,T3000015,T3000015,3935.57,00000273,2016-12-28,LPG,3935.57,3935.57,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (273)."
AL-0008,00000376,2017-01-03,T3000018,T3000018,3918.48,00000293,2017-01-03,LPG,3918.48,3918.48,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (293)."
AL-0009,00000431,2017-01-11,T3000020,T3000020,3285.79,00000332,2017-01-11,LPG,3285.79,3285.79,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (332)."
AL-0010,00000516,2017-01-31,,,3212.75,00000401,2017-01-31,LPG,3212.75,3212.75,0,OPEN_BALANCE_MATCH,OPEN_BALANCE_AT_PAYMENT,Confirmed,false,false,"Net open at payment date (after CN offset). ERP ref cross-check agrees (401)."
